age_indicators,job_or_career,location_hints,relationship_status,personality_traits,emotional_needs,purchase_motivations,communication_style,life_events,fan_model_id,fan_id,Fan,job_career,PersonalityTraits,EmotionalNeeds,CommunicationStyle,PurchaseMotivations,Career,RelationshipStatus,JobOrCareer,LifeEvents,AgeIndicators,LocationHints
[35],['Finance'],"['Live in MT', 'from Chicago', 'used to live in Bellevue and Seattle']","['single', 'divorced']","['nostalgic', 'reflective', 'conflicted']","['companionship', 'reluctance to move for relationship']","['desire for interaction and connection', 'financial capability']","['humorous', 'candid', 'direct']",['divorce'],B.o.b_693154_Model3,,,,,,,,,,,,,
[],[],[],['has a girlfriend'],"['eager', 'exploratory']","['desire for secrecy', 'craving physical interaction']","['sexual fulfillment', 'audio calls']","['flirty', 'waiting for the right moment']",[],TO_888682_Model5,,,,,,,,,,,,,
[],['income tax returns'],[],"['caring', 'supportive']","['concerned', 'empathetic']","['emotional support', 'appreciation']","['connection', 'emotional support']","['compassionate', 'supportive']","[""mother's illness""]",fan_117936_Model21,,,,,,,,,,,,,
[],[],[],[],"['submissive', 'inexperienced']","['guidance', 'approval']",['making the other happy'],"['deferential', 'playful']",[],fan_120596_Model15,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_120596_Model17,,,,,,,,,,,,,
[23],['grocery store'],['from Texas'],[],"['complimentary', 'insecure about financial status']","['validation', 'connection']",['physical attraction'],"['flirty', 'complimentary']",[],fan_120596_Model2,,,,,,,,,,,,,
[],[],[],[],['insecure'],['validation'],['attraction'],[],[],fan_120596_Model21,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_120596_Model3,,,,,,,,,,,,,
[],[],['Norwegian language hints'],[],"['submissive', 'eager']","['approval', 'control']",['sexual satisfaction'],"['playful', 'submissive']",[],fan_120596_Model7,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_120596_Model9,,,,,,,,,,,,,
[],[],[],[],[],['need for validation'],"['attraction to cosplay', 'anime interest']",['friendly'],[],fan_123067_Model12,,,,,,,,,,,,,
[],[],['Philippines'],[],"['genuine', 'inquisitive']",['understanding'],['interest in foot content'],"['open', 'non-committal']",[],fan_134674_Model16,,,,,,,,,,,,,
[],[],[],[],['demanding'],['dominance'],[],['aggressive'],[],fan_153196_Model1,,,,,,,,,,,,,
[],[],[],[],['domineering'],['control'],[],['dominant'],[],fan_153196_Model10,,,,,,,,,,,,,
[],[],[],[],"['playful', 'teasing']",['company'],['sexual attraction'],"['friendly', 'flirty']",[],fan_162019_Model5,,,,,,,,,,,,,
[],[],[],[],['dominant'],['obedience'],[],['commanding'],[],fan_165617_Model3,,,,,,,,,,,,,
[],[],[],[],['obedient'],['approval'],[],['submissive'],[],fan_169038_Model11,,,,,,,,,,,,,
[],[],[],['fantasizing'],['imaginative'],['intimacy'],['sexual scenarios'],['expressive'],[],fan_169038_Model2,,,,,,,,,,,,,
[],[],[],[],['submissive'],['control'],[],['submissive'],[],fan_203942_Model21,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_204170_Model17,,,,,,,,,,,,,
"['Do you want to guess my age?', 'Woah im 185cm small']",,['Serbia'],,"['playful', 'flirty', 'confident']","['companionship', 'approval']","['content preview', 'financial limitations']","['direct', 'humorous']","[""brother's wedding"", 'economic protests']",fan_204170_Model9,,,,,,,,,,,,,
,['office worker'],,,"['adventurous', 'bold']","['excitement', 'validation']",['sexual attraction'],"['assertive', 'suggestive']",,fan_204278_Model11,,,,,,,,,,,,,
,,,,,,['physical attraction'],['concise'],,fan_206051_Model12,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_206051_Model14,,,,,,,,,,,,,
,,,,"['confident', 'bold']","['sexual fulfillment', 'gratuity']",,"['direct', 'explicit']",,fan_206051_Model8,,,,,,,,,,,,,
,,,,"['polite', 'complimentary']",['admiration'],['interest in content'],['respectful'],,fan_217442_Model15,,,,,,,,,,,,,
,,,,"['shy', 'admiring']",['validation'],['sexual attraction'],"['tentative', 'playful']",,fan_218602_Model9,,,,,,,,,,,,,
['Im a Student'],['student'],,,"['enthusiastic', 'resourceful']",['sexual exploration'],['financial limitations'],['apologetic'],,fan_225771_Model17,,,,,,,,,,,,,
,,,,,['curiosity'],,['minimal'],,fan_245274_Model9,,,,,,,,,,,,,
,,,,['consistent'],['routine'],,['concise'],,fan_258764_Model6,,,,,,,,,,,,,
,,,,['submissive'],['guidance'],['control'],['brief'],,fan_262036_Model10,,,,,,,,,,,,,
,,['Melbourne'],,['curious'],['challenge'],['sexual desire'],['provocative'],,fan_262036_Model11,,,,,,,,,,,,,
,,,,"['shy', 'eager']",['affection'],['sexual content'],['playful'],,fan_262036_Model12,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_262036_Model13,,,,,,,,,,,,,
,,,,"['adventurous', 'imaginative']",['excitement'],['sexual exploration'],['imaginative'],,fan_262036_Model15,,,,,,,,,,,,,
,,,,['submissive'],"['control', 'release']",['sexual exploration'],['dramatic'],,fan_262036_Model17,,,,,,,,,,,,,
